Year,Value
1963,4.8743839976478
1964,5.53365938602349
1965,2.14217654354569
1966,1.57310041405223
1967,2.78647464167507
1968,5.44108343766115
1969,1.92409683469894
1970,4.30888598454999
1971,3.50471743086136
1972,4.32166758855182
1973,6.52384841665435
1974,-2.48440389712059
1975,-1.47364948643404
1976,2.91026610604752
1977,2.45775051743912
1978,4.20426053348004
1979,3.74901659373039
1980,-2.03136782004715
1981,-0.787743889455356
1982,1.99489133434545
1983,4.22185631279841
1984,2.26910517217947
1985,4.14741494974335
1986,3.15034062959936
1987,5.39273826685228
1988,5.73241360174049
1989,2.57760282144477
1990,0.733755495925308
1991,-1.10312165827735
1992,0.401082030377012
1993,2.48983101955622
1994,3.84600916108731
1995,2.53167004513035
1996,2.58202252914914
1997,4.92492865169534
1998,3.41426987375397
1999,3.06617612499225
2000,4.31872705812104
2001,2.5787410460365
2002,1.79198561607272
2003,3.14657252830963
2004,2.42649654912002
2005,2.73884240379734
2006,2.38627536792974
2007,2.62033122218656
2008,-0.225726974764584
2009,-4.61495740242552
2010,2.23868863381415
2011,1.14510154098662
2012,1.51293674929991
2013,1.79232221590813
2014,3.19578246561922
2015,2.2202583222271
2016,1.9210634135702
2017,2.65506966811928
2018,1.40379208588568
2019,1.64161099628876
2020,-10.3599008187799
2021,8.67490411442573
2022,4.34656140089153
